frp,bright_ti4,bright_ti5,dist_refinery,dist_factory,dist_industrial_zone,dist_oil_gas,dist_mining,dist_forest,dist_agriculture,dist_powerplant,has_refinery_5km,has_powerplant_5km,has_factory_5km,has_industrial_2km,count_ind_5km,count_ref_5km,label,latitude,longitude
18.02,336.75,297.24,45.0,45.0,45.0,45.0,45.0,21.487,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,27.98973,94.2222
4.5,325.18,296.37,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,29.55473,90.99751
5.61,328.38,290.57,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,29.55749,90.99095
3.42,327.32,292.56,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,29.65337,90.98225
2.37,335.72,299.28,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.24721,80.86079
13.47,334.91,295.72,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.26749,81.05721
7.3,345.43,300.75,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.45618,81.09254
19.19,349.51,301.59,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.45692,81.09754
8.32,346.16,299.67,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.45926,81.09015
8.32,348.18,299.92,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.45996,81.09512
7.3,341.66,299.41,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.46012,81.09199
11.61,346.14,291.28,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.55183,80.87236
8.33,334.36,292.72,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.55189,80.87561
39.3,349.19,292.28,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.56987,81.05585
18.25,336.92,290.95,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.57044,81.05381
18.25,337.67,289.64,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.57118,81.0588
3.03,341.78,300.87,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.71188,81.53472
5.65,342.87,299.79,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.72053,81.5371
5.65,343.31,300.12,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.72105,81.5407
4.87,339.18,291.13,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6.72933,81.16361
